"code CNIS";"sigle type formation";"libellé type formation";"libellé formation principal";"sigle formation";durée;"code RNCP";"niveau RNCP";"libellé niveau RNCP";tutelle;"lien site onisep.fr";domaine/sous-domaine
;;"formation d'école spécialisée";"Chargé d'accompagnement social et professionnel";;"2 ans";7426;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6913;"santé - social - sport/travail social"
;FCIL;"formation complémentaire d'initiative locale";"FCIL Art textile et spectacle vivant";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7172;"arts, culture, artisanat/artisanat d'art| arts, culture, artisanat/arts du spectacle"
;;"formation d'école spécialisée";"Manager social média et webmarketing";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6830;"information-communication, audiovisuel/communication| commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing - vente"
310;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"Diplôme en économie financière et managériale (programme MSc Management, Economics and Finance)";;"2 ans";;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7338;"banque - assurances - immobilier/banque| banque - assurances - immobilier/finances| économie - droit - politique/sciences économiques"
;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure d'ingénieurs de Bretagne-Sud de l'université de Bretagne-Sud spécialité mécatronique en partenariat avec l'ITII Bretagne";ENSIBS;"3 ans";35798;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6940;"mécanique/automatismes| électricité - électronique - robotique/électronique| mécanique/mécanique (généralités)"
;;master;"master mention lettres et langues";;"2 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6749;"lettres, langues - enseignement/lettres - linguistique"
310;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"Diplôme de Paris School of Business programme grande école";;"5 ans";34665;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.1369;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/marketing - vente"
312;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"Diplôme de Neoma BS programme de formation internationale en management (Global BBA)";"GLOBAL BBA";"4 ans";23737;2;"niveau 6 (bac + 3)";"Chambre de commerce et d'industrie";http://www.onisep.fr/http/redirection/formation/slug/FOR.936;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/commerce international| commerce, marketing, vente/marketing - vente"
312;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"Diplôme de Neoma BS programme grande école";;"3 ans";22162;1;"niveau 7 (bac + 5)";"Chambre de commerce et d'industrie";http://www.onisep.fr/http/redirection/formation/slug/FOR.1276;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/marketing - vente"
242;BP;"brevet professionnel";"BP Vêtement sur mesure option B tailleur homme";;"2 ans";1016;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.5450;"matières premières, fabrication, industries/textile - habillement"
333;;agrégation;"Préparation à l'agrégation de langues vivantes étrangères option arabe";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.5747;"lettres, langues - enseignement/enseignement| lettres, langues - enseignement/langues"
